Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-05-31,257.946655,259.600006,244.743332,252.753326,252.753326,101914500,TSLA
2022-06-01,251.720001,257.32666,243.639999,246.789993,246.789993,77247900,TSLA
2022-06-02,244.156662,264.209991,242.066666,258.333344,258.333344,93473100,TSLA
2022-06-03,243.226669,247.796661,233.416672,234.516663,234.516663,112393800,TSLA
2022-06-06,244.353333,244.866669,234.350006,238.279999,238.279999,84204600,TSLA
2022-06-07,234.0,239.996674,230.093338,238.886673,238.886673,72808500,TSLA
2022-06-08,240.08667,249.963333,239.176666,241.866669,241.866669,76210500,TSLA
2022-06-09,249.339996,255.546661,239.32666,239.706665,239.706665,96491400,TSLA
2022-06-10,235.156662,239.5,227.91333,232.229996,232.229996,97536600,TSLA
2022-06-13,223.166672,226.633331,214.683334,215.736664,215.736664,102767400,TSLA
2022-06-14,218.286667,226.330002,211.736664,220.889999,220.889999,97988700,TSLA
2022-06-15,220.916672,235.66333,218.149994,233.0,233.0,119131800,TSLA
2022-06-16,222.736664,225.166672,208.693329,213.100006,213.100006,107390700,TSLA
2022-06-17,213.433334,220.970001,213.196671,216.759995,216.759995,92641800,TSLA
2022-06-21,224.603333,243.57666,224.333328,237.036667,237.036667,122793000,TSLA
2022-06-22,234.503326,246.833328,233.82666,236.08667,236.08667,101107500,TSLA
2022-06-23,237.906662,239.316666,228.636673,235.070007,235.070007,104202600,TSLA
2022-06-24,237.470001,246.066666,236.08667,245.706665,245.706665,95770800,TSLA
2022-06-27,249.366669,252.070007,242.566666,244.919998,244.919998,89178300,TSLA
2022-06-28,244.483337,249.970001,232.343338,232.66333,232.66333,90391200,TSLA
2022-06-29,230.5,231.17334,222.273331,228.490005,228.490005,82897200,TSLA
2022-06-30,224.509995,229.456665,218.863327,224.473328,224.473328,94600500,TSLA
2022-07-01,227.0,230.229996,222.119995,227.263336,227.263336,74460300,TSLA
2022-07-05,223.0,233.146667,216.166672,233.066666,233.066666,84581100,TSLA
2022-07-06,230.779999,234.563339,227.186661,231.733337,231.733337,71853600,TSLA
2022-07-07,233.919998,245.363327,232.210007,244.543335,244.543335,81930600,TSLA
2022-07-08,242.333328,254.979996,241.160004,250.763336,250.763336,101854200,TSLA
2022-07-11,252.103333,253.063339,233.626663,234.343338,234.343338,99241200,TSLA
2022-07-12,236.846664,239.773331,228.369995,233.070007,233.070007,87930900,TSLA
2022-07-13,225.5,242.059998,225.03334,237.039993,237.039993,97954500,TSLA
2022-07-14,234.896667,238.653336,229.333328,238.313339,238.313339,78557400,TSLA
2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,TSLA
2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,TSLA
2022-07-19,245.0,247.139999,236.976669,245.529999,245.529999,80890200,TSLA
2022-07-20,246.78334,250.66333,243.483337,247.5,247.5,88864200,TSLA
2022-07-21,255.106674,273.266663,254.866669,271.706665,271.706665,142032300,TSLA
2022-07-22,276.220001,280.786682,270.713318,272.243347,272.243347,103472700,TSLA
2022-07-25,272.216675,274.146667,267.399994,268.433319,268.433319,64073400,TSLA
2022-07-26,266.513336,267.309998,256.263336,258.859985,258.859985,66820800,TSLA
2022-07-27,263.809998,275.926666,261.790009,274.820007,274.820007,88110000,TSLA
2022-07-28,280.066681,283.299988,272.799988,280.899994,280.899994,84723000,TSLA
2022-07-29,280.700012,298.320007,279.100006,297.149994,297.149994,95313000,TSLA
2022-08-01,301.276672,311.876678,295.0,297.276672,297.276672,117042900,TSLA
2022-08-02,294.003326,307.833344,292.666656,300.58667,300.58667,95577600,TSLA
2022-08-03,305.0,309.549988,301.149994,307.396667,307.396667,80091000,TSLA
2022-08-04,311.0,313.606659,305.0,308.633331,308.633331,72256200,TSLA
2022-08-05,302.670013,304.606659,285.543335,288.170013,288.170013,113172900,TSLA
2022-08-08,295.0,305.200012,289.08667,290.42334,290.42334,98994000,TSLA
2022-08-09,290.293335,292.396667,279.353333,283.333344,283.333344,86244600,TSLA
2022-08-10,297.066681,297.51001,283.369995,294.356659,294.356659,94918800,TSLA
2022-08-11,296.513336,298.236664,285.833344,286.630005,286.630005,70155000,TSLA
2022-08-12,289.416656,300.160004,285.033325,300.029999,300.029999,79657200,TSLA
2022-08-15,301.786682,313.133331,301.230011,309.320007,309.320007,89359200,TSLA
2022-08-16,311.666656,314.666656,302.883331,306.563324,306.563324,88136400,TSLA
2022-08-17,303.396667,309.656677,300.033325,303.996674,303.996674,68766000,TSLA
2022-08-18,306.0,306.5,301.853333,302.869995,302.869995,47500500,TSLA
2022-08-19,299.0,300.359985,292.5,296.666656,296.666656,61395300,TSLA
2022-08-22,291.91333,292.399994,286.296661,289.91333,289.91333,55843200,TSLA
2022-08-23,291.453339,298.82666,287.92334,296.453339,296.453339,63984900,TSLA
2022-08-24,297.563324,303.646667,296.5,297.09668,297.09668,57259800,TSLA
2022-08-25,302.359985,302.959991,291.600006,296.070007,296.070007,53230000,TSLA
2022-08-26,297.429993,302.0,287.470001,288.089996,288.089996,57163900,TSLA
2022-08-29,282.829987,287.73999,280.700012,284.820007,284.820007,41864700,TSLA
2022-08-30,287.869995,288.480011,272.649994,277.700012,277.700012,50541800,TSLA
2022-08-31,280.619995,281.25,271.809998,275.609985,275.609985,52107300,TSLA
2022-09-01,272.579987,277.579987,266.149994,277.160004,277.160004,54287000,TSLA
2022-09-02,281.070007,282.350006,269.079987,270.209991,270.209991,50752200,TSLA
2022-09-06,272.679993,275.98999,265.73999,274.420013,274.420013,55860000,TSLA
2022-09-07,273.100006,283.839996,272.269989,283.700012,283.700012,49889300,TSLA
